,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
28,PHI,2003,NOR,2003-11-23 13:02:00,Sun,12,1.0,0,8-3,HOME,33.0,20.0,22.0,448.0,247.0,201.0,0.0,27.0,466.0,267.0,199.0,3.0,17.6,-5.19,1.16
29,PHI,2003,CAR,2003-11-30 13:02:00,Sun,13,1.0,0,9-3,AWAY,25.0,16.0,17.0,283.0,159.0,124.0,2.0,19.0,336.0,200.0,136.0,1.0,0.73,0.18,5.78
30,PHI,2003,DAL,2003-12-07 13:03:00,Sun,14,1.0,0,10-3,HOME,36.0,10.0,20.0,403.0,228.0,175.0,0.0,13.0,225.0,75.0,150.0,2.0,11.69,14.44,-0.03
31,PHI,2003,MIA,2003-12-15 21:09:00,Mon,15,1.0,0,11-3,AWAY,34.0,27.0,23.0,401.0,261.0,140.0,1.0,22.0,398.0,221.0,177.0,2.0,17.02,-5.33,-2.65
32,PHI,2003,SFO,2003-12-21 16:15:00,Sun,16,0.0,1,11-4,HOME,28.0,31.0,18.0,293.0,205.0,88.0,3.0,22.0,414.0,211.0,203.0,1.0,-6.23,-7.6,10.3
33,PHI,2003,WAS,2003-12-27 20:36:00,Sat,17,1.0,0,12-4,AWAY,31.0,7.0,24.0,332.0,249.0,83.0,0.0,16.0,260.0,181.0,79.0,2.0,18.02,7.77,0.3
34,PHI,2003,GNB,2004-01-11 16:46:00,Sun,19,1.0,1,13-4,HOME,20.0,17.0,19.0,363.0,199.0,164.0,1.0,16.0,381.0,171.0,210.0,1.0,-3.03,0.01,4.91
35,PHI,2003,CAR,2004-01-18 18:50:00,Sun,20,0.0,0,13-5,HOME,3.0,14.0,18.0,289.0,152.0,137.0,4.0,14.0,256.0,101.0,155.0,0.0,-13.92,0.64,1.92
36,PHI,2004,NYG,2004-09-12 16:21:00,Sun,1,1.0,0,1-0,HOME,31.0,17.0,21.0,454.0,313.0,141.0,0.0,19.0,413.0,243.0,170.0,1.0,13.49,-4.01,-1.58
37,PHI,2004,MIN,2004-09-20 21:09:00,Mon,2,1.0,0,2-0,HOME,27.0,16.0,19.0,317.0,226.0,91.0,1.0,25.0,410.0,332.0,78.0,2.0,11.97,-5.71,8.47
38,PHI,2004,DET,2004-09-26 13:03:00,Sun,3,1.0,0,3-0,AWAY,30.0,13.0,19.0,402.0,343.0,59.0,1.0,15.0,256.0,179.0,77.0,1.0,6.31,12.0,-0.16
39,PHI,2004,CHI,2004-10-03 13:05:00,Sun,4,1.0,0,4-0,AWAY,19.0,9.0,24.0,376.0,218.0,158.0,1.0,14.0,224.0,192.0,32.0,1.0,3.33,8.45,-2.57
40,PHI,2004,CAR,2004-10-17 13:04:00,Sun,6,1.0,0,5-0,HOME,30.0,8.0,10.0,283.0,202.0,81.0,1.0,21.0,344.0,186.0,158.0,4.0,0.65,11.8,9.31
41,PHI,2004,CLE,2004-10-24 13:03:00,Sun,7,1.0,1,6-0,AWAY,34.0,31.0,23.0,488.0,367.0,121.0,1.0,27.0,394.0,229.0,165.0,3.0,9.26,-15.36,7.96
42,PHI,2004,BAL,2004-10-31 13:03:00,Sun,8,1.0,0,7-0,HOME,15.0,10.0,19.0,298.0,200.0,98.0,1.0,19.0,327.0,214.0,113.0,2.0,-4.28,5.02,4.02
43,PHI,2004,PIT,2004-11-07 13:02:00,Sun,9,0.0,0,7-1,AWAY,3.0,27.0,7.0,113.0,90.0,23.0,1.0,25.0,420.0,168.0,252.0,2.0,-20.13,-13.23,9.78
44,PHI,2004,DAL,2004-11-15 21:09:00,Mon,10,1.0,0,8-1,AWAY,49.0,21.0,20.0,485.0,336.0,149.0,0.0,14.0,317.0,246.0,71.0,3.0,23.31,9.45,-3.6
