,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
29,DET,2003,KAN,2003-12-14 13:00:00,Sun,0,0.0,4-10,AWAY,17.0,45.0,22.0,334.0,197.0,137.0,2.0,28.0,521.0,372.0,149.0,0.0,4.87,-37.47,0.22
30,DET,2003,CAR,2003-12-21 13:03:00,Sun,0,0.0,4-11,AWAY,14.0,20.0,8.0,106.0,53.0,53.0,1.0,22.0,384.0,260.0,124.0,2.0,-17.52,2.84,5.91
31,DET,2003,LAR,2003-12-28 13:03:00,Sun,1,0.0,5-11,HOME,30.0,20.0,21.0,342.0,230.0,112.0,2.0,13.0,194.0,153.0,41.0,3.0,2.08,21.13,-8.46
32,DET,2004,CHI,2004-09-12 13:05:00,Sun,1,0,1-0,AWAY,20.0,16.0,13.0,262.0,185.0,77.0,1.0,18.0,342.0,214.0,128.0,4.0,-8.57,9.81,2.16
33,DET,2004,HOU,2004-09-19 13:04:00,Sun,1,0,2-0,HOME,28.0,16.0,18.0,266.0,172.0,94.0,1.0,24.0,386.0,274.0,112.0,3.0,7.38,-1.17,6.4
34,DET,2004,PHI,2004-09-26 13:03:00,Sun,0,0,2-1,HOME,13.0,30.0,15.0,256.0,179.0,77.0,1.0,19.0,402.0,343.0,59.0,1.0,-12.0,-6.31,0.16
35,DET,2004,ATL,2004-10-10 13:05:00,Sun,1,0,3-1,AWAY,17.0,10.0,15.0,227.0,126.0,101.0,0.0,17.0,279.0,185.0,94.0,4.0,-5.45,13.45,-0.64
36,DET,2004,GNB,2004-10-17 13:03:00,Sun,0,0,3-2,HOME,10.0,38.0,5.0,125.0,92.0,33.0,1.0,28.0,434.0,277.0,157.0,0.0,-21.13,-21.37,11.76
37,DET,2004,NYG,2004-10-24 13:03:00,Sun,1,0,4-2,AWAY,28.0,13.0,22.0,325.0,210.0,115.0,0.0,22.0,325.0,250.0,75.0,2.0,16.25,2.23,-0.39
38,DET,2004,DAL,2004-10-31 13:03:00,Sun,0,0,4-3,AWAY,21.0,31.0,15.0,284.0,245.0,39.0,1.0,22.0,357.0,230.0,127.0,3.0,2.29,-6.24,-7.44
39,DET,2004,WAS,2004-11-07 13:04:00,Sun,0,0,4-4,HOME,10.0,17.0,21.0,322.0,258.0,64.0,1.0,15.0,229.0,73.0,156.0,0.0,-4.43,10.01,-9.28
40,DET,2004,JAX,2004-11-14 13:04:00,Sun,0,1,4-5,AWAY,17.0,23.0,10.0,190.0,109.0,81.0,1.0,22.0,415.0,176.0,239.0,0.0,-19.51,0.35,13.16
41,DET,2004,MIN,2004-11-21 13:00:00,Sun,0,0,4-6,AWAY,19.0,22.0,13.0,213.0,67.0,146.0,1.0,22.0,319.0,212.0,107.0,1.0,-7.01,-7.28,11.12
42,DET,2004,IND,2004-11-25 12:38:00,Thu,0,0,4-7,HOME,9.0,41.0,19.0,386.0,218.0,168.0,5.0,24.0,356.0,243.0,113.0,0.0,-10.78,-16.05,-5.17
