,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
28,NYG,2003,BUF,2003-11-30 13:02:00,Sun,13,0.0,0,4-8,HOME,7.0,24.0,10.0,222.0,198.0,24.0,1.0,23.0,403.0,252.0,151.0,0.0,-14.69,-9.87,4.16
29,NYG,2003,WAS,2003-12-07 13:02:00,Sun,14,0.0,0,4-9,HOME,7.0,20.0,15.0,220.0,100.0,120.0,3.0,20.0,288.0,138.0,150.0,0.0,-12.48,-5.19,4.23
30,NYG,2003,NOR,2003-12-14 20:36:00,Sun,15,0.0,0,4-10,AWAY,7.0,45.0,16.0,241.0,130.0,111.0,2.0,26.0,440.0,308.0,132.0,1.0,-6.94,-20.26,-8.41
31,NYG,2003,DAL,2003-12-21 13:02:00,Sun,16,0.0,0,4-11,AWAY,3.0,19.0,10.0,213.0,159.0,54.0,0.0,16.0,326.0,222.0,104.0,0.0,-11.16,-1.49,-2.76
32,NYG,2003,CAR,2003-12-28 16:05:00,Sun,17,0.0,0,4-12,HOME,24.0,37.0,14.0,175.0,99.0,76.0,5.0,15.0,251.0,141.0,110.0,2.0,-27.71,9.22,7.39
33,NYG,2004,PHI,2004-09-12 16:21:00,Sun,1,0.0,0.0,0-1,AWAY,17.0,31.0,19.0,413.0,243.0,170.0,1.0,21.0,454.0,313.0,141.0,0.0,4.01,-13.49,1.58
34,NYG,2004,WAS,2004-09-19 13:04:00,Sun,2,1.0,0.0,1-1,HOME,20.0,14.0,15.0,277.0,215.0,62.0,1.0,20.0,322.0,214.0,108.0,7.0,-13.58,25.56,-6.23
35,NYG,2004,CLE,2004-09-26 13:02:00,Sun,3,1.0,0.0,2-1,HOME,27.0,10.0,25.0,390.0,274.0,116.0,0.0,18.0,285.0,161.0,124.0,3.0,15.4,9.89,-3.46
36,NYG,2004,GNB,2004-10-03 13:02:00,Sun,4,1.0,0.0,3-1,AWAY,14.0,7.0,21.0,403.0,158.0,245.0,1.0,15.0,301.0,220.0,81.0,3.0,5.78,5.37,-8.69
37,NYG,2004,DAL,2004-10-10 13:03:00,Sun,5,1.0,0.0,4-1,AWAY,26.0,10.0,19.0,336.0,211.0,125.0,1.0,16.0,278.0,112.0,166.0,2.0,2.51,7.15,2.93
38,NYG,2004,DET,2004-10-24 13:03:00,Sun,7,0.0,0.0,4-2,HOME,13.0,28.0,22.0,325.0,250.0,75.0,2.0,22.0,325.0,210.0,115.0,0.0,-2.23,-16.25,0.39
39,NYG,2004,MIN,2004-10-31 13:00:00,Sun,8,1.0,0.0,5-2,AWAY,34.0,13.0,22.0,283.0,115.0,168.0,0.0,15.0,324.0,231.0,93.0,3.0,7.64,9.29,6.52
